provincia,count
madrid,10
Madrid,9
Asturias,5
Gipuzkoa,3
Bizkaia,3
barcelona,2
Jaén,2
Sin provincia,2
Navarra,2
Barcelona,2
Albacete,1
Valencia,1
Tenerife,1
Almería,1
Huelva,1
Cantabria,1
Zamora,1
Gijón,1
asturias,1
