week,impressions,clicks,avg_position
2026-W21,135,8,42.8
2026-W22,627,10,54.9
2026-W23,1032,4,53.0
2026-W24,1153,13,52.2
2026-W25,1348,9,47.1
2026-W26,1650,11,41.9
2026-W27,1428,15,38.4
2026-W28,1443,11,34.1
2026-W29,1589,12,29.7
2026-W30,1535,24,25.2
